id,place,city,state,latitude,longitude,category,best_time,budget_per_day,description,category_icon,estimated_entry_fee,estimated_local_travel
23,Amareswara Temple,Amaravati,Andhra Pradesh,16.573,80.346,Temple,Oct-Apr,2500,"Amareswara Temple is a popular travel spot near Amaravati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
24,Krishna River Viewpoint,Amaravati,Andhra Pradesh,16.561,80.358,Nature,Sep-Feb,3000,"Krishna River Viewpoint is a popular travel spot near Amaravati, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,360,540
25,Veerabhadra Temple,Lepakshi,Andhra Pradesh,14.1235,77.6212,Temple,Oct-Mar,1800,"Veerabhadra Temple is a popular travel spot near Lepakshi, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
26,Lepakshi Nandi,Lepakshi,Andhra Pradesh,14.1355,77.6092,Places to Visit,Nov-Feb,2200,"Lepakshi Nandi is a popular travel spot near Lepakshi, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
27,Monolithic Nagalinga,Lepakshi,Andhra Pradesh,14.1235,77.5972,Places to Visit,Oct-Apr,2500,"Monolithic Nagalinga is a popular travel spot near Lepakshi, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
28,Jatayu Theme Park,Lepakshi,Andhra Pradesh,14.1115,77.6092,Adventure,Sep-Feb,3000,"Jatayu Theme Park is a popular travel spot near Lepakshi, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,360,540
29,Belum Caves,Kurnool,Andhra Pradesh,15.8281,78.0493,Adventure,Oct-Mar,1800,"Belum Caves is a popular travel spot near Kurnool, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,216,324
30,Oravakallu Rock Garden,Kurnool,Andhra Pradesh,15.8401,78.0373,Adventure,Nov-Feb,2200,"Oravakallu Rock Garden is a popular travel spot near Kurnool, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,264,396
31,Konda Reddy Fort,Kurnool,Andhra Pradesh,15.8281,78.0253,Fort,Oct-Apr,2500,"Konda Reddy Fort is a popular travel spot near Kurnool, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,300,450
32,Rollapadu Wildlife Sanctuary,Kurnool,Andhra Pradesh,15.8161,78.0373,Wildlife,Sep-Feb,3000,"Rollapadu Wildlife Sanctuary is a popular travel spot near Kurnool, Andhra Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🐅,360,540
33,Charminar,Hyderabad,Telangana,17.385,78.4987,Famous Landmark,Oct-Mar,1800,"Charminar is a popular travel spot near Hyderabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,216,324
34,Golconda Fort,Hyderabad,Telangana,17.397,78.4867,Fort,Nov-Feb,2200,"Golconda Fort is a popular travel spot near Hyderabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,264,396
35,Hussain Sagar Lake,Hyderabad,Telangana,17.385,78.4747,Lake/Waterfall,Oct-Apr,2500,"Hussain Sagar Lake is a popular travel spot near Hyderabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
36,Salar Jung Museum,Hyderabad,Telangana,17.373,78.4867,Historical/Heritage,Sep-Feb,3000,"Salar Jung Museum is a popular travel spot near Hyderabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,360,540
37,Warangal Fort,Warangal,Telangana,17.9689,79.6061,Fort,Oct-Mar,1800,"Warangal Fort is a popular travel spot near Warangal, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,216,324
38,Thousand Pillar Temple,Warangal,Telangana,17.9809,79.5941,Temple,Nov-Feb,2200,"Thousand Pillar Temple is a popular travel spot near Warangal, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
39,Ramappa Temple,Warangal,Telangana,17.9689,79.5821,Temple,Oct-Apr,2500,"Ramappa Temple is a popular travel spot near Warangal, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
40,Pakhal Lake,Warangal,Telangana,17.9569,79.5941,Lake/Waterfall,Sep-Feb,3000,"Pakhal Lake is a popular travel spot near Warangal, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
41,Pocharam Wildlife Sanctuary,Nizamabad,Telangana,18.6725,78.1061,Wildlife,Oct-Mar,1800,"Pocharam Wildlife Sanctuary is a popular travel spot near Nizamabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🐅,216,324
42,Nizamabad Fort,Nizamabad,Telangana,18.6845,78.0941,Fort,Nov-Feb,2200,"Nizamabad Fort is a popular travel spot near Nizamabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,264,396
43,Ali Sagar Reservoir,Nizamabad,Telangana,18.6725,78.0821,Lake/Waterfall,Oct-Apr,2500,"Ali Sagar Reservoir is a popular travel spot near Nizamabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
44,Mallaram Forest,Nizamabad,Telangana,18.6605,78.0941,Nature,Sep-Feb,3000,"Mallaram Forest is a popular travel spot near Nizamabad, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,360,540
45,Sri Sita Ramachandraswamy Temple,Bhadrachalam,Telangana,17.6688,80.9056,Temple,Oct-Mar,1800,"Sri Sita Ramachandraswamy Temple is a popular travel spot near Bhadrachalam, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
46,Godavari River Ghat,Bhadrachalam,Telangana,17.6808,80.8936,Lake/Waterfall,Nov-Feb,2200,"Godavari River Ghat is a popular travel spot near Bhadrachalam, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
47,Parnasala,Bhadrachalam,Telangana,17.6688,80.8816,Places to Visit,Oct-Apr,2500,"Parnasala is a popular travel spot near Bhadrachalam, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
48,Papikondalu Viewpoint,Bhadrachalam,Telangana,17.6568,80.8936,Nature,Sep-Feb,3000,"Papikondalu Viewpoint is a popular travel spot near Bhadrachalam, Telangana, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,360,540
49,Marina Beach,Chennai,Tamil Nadu,13.0827,80.2827,Beach,Oct-Mar,1800,"Marina Beach is a popular travel spot near Chennai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
50,Kapaleeshwarar Temple,Chennai,Tamil Nadu,13.0947,80.2707,Temple,Nov-Feb,2200,"Kapaleeshwarar Temple is a popular travel spot near Chennai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
51,Fort St George,Chennai,Tamil Nadu,13.0827,80.2587,Fort,Oct-Apr,2500,"Fort St George is a popular travel spot near Chennai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,300,450
52,Government Museum,Chennai,Tamil Nadu,13.0707,80.2707,Historical/Heritage,Sep-Feb,3000,"Government Museum is a popular travel spot near Chennai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,360,540
53,Shore Temple,Mahabalipuram,Tamil Nadu,12.6269,80.2047,Temple,Oct-Mar,1800,"Shore Temple is a popular travel spot near Mahabalipuram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
54,Arjuna's Penance,Mahabalipuram,Tamil Nadu,12.6389,80.1927,Historical/Heritage,Nov-Feb,2200,"Arjuna's Penance is a popular travel spot near Mahabalipuram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,264,396
55,Pancha Rathas,Mahabalipuram,Tamil Nadu,12.6269,80.1807,Historical/Heritage,Oct-Apr,2500,"Pancha Rathas is a popular travel spot near Mahabalipuram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,300,450
56,Mahabalipuram Beach,Mahabalipuram,Tamil Nadu,12.6149,80.1927,Beach,Sep-Feb,3000,"Mahabalipuram Beach is a popular travel spot near Mahabalipuram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,360,540
57,Meenakshi Amman Temple,Madurai,Tamil Nadu,9.9252,78.1318,Temple,Oct-Mar,1800,"Meenakshi Amman Temple is a popular travel spot near Madurai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
58,Thirumalai Nayakkar Palace,Madurai,Tamil Nadu,9.9372,78.1198,Palace,Nov-Feb,2200,"Thirumalai Nayakkar Palace is a popular travel spot near Madurai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,264,396
59,Gandhi Memorial Museum,Madurai,Tamil Nadu,9.9252,78.1078,Historical/Heritage,Oct-Apr,2500,"Gandhi Memorial Museum is a popular travel spot near Madurai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,300,450
60,Vandiyur Mariamman Teppakulam,Madurai,Tamil Nadu,9.9132,78.1198,Places to Visit,Sep-Feb,3000,"Vandiyur Mariamman Teppakulam is a popular travel spot near Madurai, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
61,Ooty Lake,Ooty,Tamil Nadu,11.4064,76.7052,Lake/Waterfall,Oct-Mar,1800,"Ooty Lake is a popular travel spot near Ooty, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
62,Botanical Garden,Ooty,Tamil Nadu,11.4184,76.6932,Nature,Nov-Feb,2200,"Botanical Garden is a popular travel spot near Ooty, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,264,396
63,Doddabetta Peak,Ooty,Tamil Nadu,11.4064,76.6812,Hill Station,Oct-Apr,2500,"Doddabetta Peak is a popular travel spot near Ooty, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,300,450
64,Nilgiri Mountain Railway,Ooty,Tamil Nadu,11.3944,76.6932,Historical/Heritage,Sep-Feb,3000,"Nilgiri Mountain Railway is a popular travel spot near Ooty, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,360,540
65,Kodaikanal Lake,Kodaikanal,Tamil Nadu,10.2381,77.5012,Lake/Waterfall,Oct-Mar,1800,"Kodaikanal Lake is a popular travel spot near Kodaikanal, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
66,Coaker's Walk,Kodaikanal,Tamil Nadu,10.2501,77.4892,Nature,Nov-Feb,2200,"Coaker's Walk is a popular travel spot near Kodaikanal, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,264,396
67,Pillar Rocks,Kodaikanal,Tamil Nadu,10.2381,77.4772,Places to Visit,Oct-Apr,2500,"Pillar Rocks is a popular travel spot near Kodaikanal, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
68,Bryant Park,Kodaikanal,Tamil Nadu,10.2261,77.4892,Places to Visit,Sep-Feb,3000,"Bryant Park is a popular travel spot near Kodaikanal, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
69,Ramanathaswamy Temple,Rameswaram,Tamil Nadu,9.2876,79.3249,Temple,Oct-Mar,1800,"Ramanathaswamy Temple is a popular travel spot near Rameswaram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
70,Pamban Bridge,Rameswaram,Tamil Nadu,9.2996,79.3129,Hill Station,Nov-Feb,2200,"Pamban Bridge is a popular travel spot near Rameswaram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,264,396
71,Dhanushkodi,Rameswaram,Tamil Nadu,9.2876,79.3009,Places to Visit,Oct-Apr,2500,"Dhanushkodi is a popular travel spot near Rameswaram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
72,Ariyaman Beach,Rameswaram,Tamil Nadu,9.2756,79.3129,Beach,Sep-Feb,3000,"Ariyaman Beach is a popular travel spot near Rameswaram, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,360,540
73,Brihadeeswarar Temple,Thanjavur,Tamil Nadu,10.787,79.1498,Temple,Oct-Mar,1800,"Brihadeeswarar Temple is a popular travel spot near Thanjavur, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
74,Thanjavur Palace,Thanjavur,Tamil Nadu,10.799,79.1378,Palace,Nov-Feb,2200,"Thanjavur Palace is a popular travel spot near Thanjavur, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,264,396
75,Saraswathi Mahal Library,Thanjavur,Tamil Nadu,10.787,79.1258,Historical/Heritage,Oct-Apr,2500,"Saraswathi Mahal Library is a popular travel spot near Thanjavur, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,300,450
76,Sivaganga Park,Thanjavur,Tamil Nadu,10.775,79.1378,Places to Visit,Sep-Feb,3000,"Sivaganga Park is a popular travel spot near Thanjavur, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
77,Vivekananda Rock Memorial,Kanyakumari,Tamil Nadu,8.0883,77.5505,Famous Landmark,Oct-Mar,1800,"Vivekananda Rock Memorial is a popular travel spot near Kanyakumari, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,216,324
78,Thiruvalluvar Statue,Kanyakumari,Tamil Nadu,8.1003,77.5385,Famous Landmark,Nov-Feb,2200,"Thiruvalluvar Statue is a popular travel spot near Kanyakumari, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,264,396
79,Kanyakumari Beach,Kanyakumari,Tamil Nadu,8.0883,77.5265,Beach,Oct-Apr,2500,"Kanyakumari Beach is a popular travel spot near Kanyakumari, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,300,450
80,Sunset Point,Kanyakumari,Tamil Nadu,8.0763,77.5385,Places to Visit,Sep-Feb,3000,"Sunset Point is a popular travel spot near Kanyakumari, Tamil Nadu, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
81,Fort Kochi,Kochi,Kerala,9.9312,76.2793,Fort,Oct-Mar,1800,"Fort Kochi is a popular travel spot near Kochi, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,216,324
82,Chinese Fishing Nets,Kochi,Kerala,9.9432,76.2673,Places to Visit,Nov-Feb,2200,"Chinese Fishing Nets is a popular travel spot near Kochi, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
83,Mattancherry Palace,Kochi,Kerala,9.9312,76.2553,Palace,Oct-Apr,2500,"Mattancherry Palace is a popular travel spot near Kochi, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,300,450
84,St Francis Church,Kochi,Kerala,9.9192,76.2673,Spiritual,Sep-Feb,3000,"St Francis Church is a popular travel spot near Kochi, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,360,540
85,Tea Museum,Munnar,Kerala,10.0889,77.0715,Historical/Heritage,Oct-Mar,1800,"Tea Museum is a popular travel spot near Munnar, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,216,324
86,Eravikulam National Park,Munnar,Kerala,10.1009,77.0595,Wildlife,Nov-Feb,2200,"Eravikulam National Park is a popular travel spot near Munnar, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🐅,264,396
87,Mattupetty Dam,Munnar,Kerala,10.0889,77.0475,Lake/Waterfall,Oct-Apr,2500,"Mattupetty Dam is a popular travel spot near Munnar, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
88,Top Station,Munnar,Kerala,10.0769,77.0595,Places to Visit,Sep-Feb,3000,"Top Station is a popular travel spot near Munnar, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
89,Alappuzha Beach,Alappuzha,Kerala,9.4981,76.3508,Beach,Oct-Mar,1800,"Alappuzha Beach is a popular travel spot near Alappuzha, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
90,Vembanad Lake,Alappuzha,Kerala,9.5101,76.3388,Lake/Waterfall,Nov-Feb,2200,"Vembanad Lake is a popular travel spot near Alappuzha, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
91,Backwaters,Alappuzha,Kerala,9.4981,76.3268,Lake/Waterfall,Oct-Apr,2500,"Backwaters is a popular travel spot near Alappuzha, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
92,Alappuzha Lighthouse,Alappuzha,Kerala,9.4861,76.3388,Places to Visit,Sep-Feb,3000,"Alappuzha Lighthouse is a popular travel spot near Alappuzha, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
93,Kovalam Beach,Kovalam,Kerala,8.4004,76.9907,Beach,Oct-Mar,1800,"Kovalam Beach is a popular travel spot near Kovalam, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
94,Lighthouse Beach,Kovalam,Kerala,8.4124,76.9787,Beach,Nov-Feb,2200,"Lighthouse Beach is a popular travel spot near Kovalam, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,264,396
95,Hawa Beach,Kovalam,Kerala,8.4004,76.9667,Beach,Oct-Apr,2500,"Hawa Beach is a popular travel spot near Kovalam, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,300,450
96,Vizhinjam Harbour,Kovalam,Kerala,8.3884,76.9787,Places to Visit,Sep-Feb,3000,"Vizhinjam Harbour is a popular travel spot near Kovalam, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
97,Periyar Wildlife Sanctuary,Thekkady,Kerala,9.6031,77.173,Wildlife,Oct-Mar,1800,"Periyar Wildlife Sanctuary is a popular travel spot near Thekkady, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🐅,216,324
98,Periyar Lake,Thekkady,Kerala,9.6151,77.161,Lake/Waterfall,Nov-Feb,2200,"Periyar Lake is a popular travel spot near Thekkady, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
99,Bamboo Rafting Point,Thekkady,Kerala,9.6031,77.149,Adventure,Oct-Apr,2500,"Bamboo Rafting Point is a popular travel spot near Thekkady, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,300,450
100,Spice Garden,Thekkady,Kerala,9.5911,77.161,Nature,Sep-Feb,3000,"Spice Garden is a popular travel spot near Thekkady, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,360,540
101,Edakkal Caves,Wayanad,Kerala,11.6854,76.144,Adventure,Oct-Mar,1800,"Edakkal Caves is a popular travel spot near Wayanad, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,216,324
102,Soochipara Falls,Wayanad,Kerala,11.6974,76.132,Lake/Waterfall,Nov-Feb,2200,"Soochipara Falls is a popular travel spot near Wayanad, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
103,Banasura Sagar Dam,Wayanad,Kerala,11.6854,76.12,Lake/Waterfall,Oct-Apr,2500,"Banasura Sagar Dam is a popular travel spot near Wayanad, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
104,Chembra Peak,Wayanad,Kerala,11.6734,76.132,Hill Station,Sep-Feb,3000,"Chembra Peak is a popular travel spot near Wayanad, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,360,540
105,Varkala Cliff,Varkala,Kerala,8.7379,76.7283,Places to Visit,Oct-Mar,1800,"Varkala Cliff is a popular travel spot near Varkala, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
106,Papanasam Beach,Varkala,Kerala,8.7499,76.7163,Beach,Nov-Feb,2200,"Papanasam Beach is a popular travel spot near Varkala, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,264,396
107,Janardhana Swamy Temple,Varkala,Kerala,8.7379,76.7043,Temple,Oct-Apr,2500,"Janardhana Swamy Temple is a popular travel spot near Varkala, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
108,Kappil Beach,Varkala,Kerala,8.7259,76.7163,Beach,Sep-Feb,3000,"Kappil Beach is a popular travel spot near Varkala, Kerala, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,360,540
109,Lalbagh Botanical Garden,Bengaluru,Karnataka,12.9716,77.6066,Nature,Oct-Mar,1800,"Lalbagh Botanical Garden is a popular travel spot near Bengaluru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,216,324
110,Bangalore Palace,Bengaluru,Karnataka,12.9836,77.5946,Palace,Nov-Feb,2200,"Bangalore Palace is a popular travel spot near Bengaluru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,264,396
111,Cubbon Park,Bengaluru,Karnataka,12.9716,77.5826,Places to Visit,Oct-Apr,2500,"Cubbon Park is a popular travel spot near Bengaluru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
112,Vidhana Soudha,Bengaluru,Karnataka,12.9596,77.5946,Famous Landmark,Sep-Feb,3000,"Vidhana Soudha is a popular travel spot near Bengaluru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,360,540
113,Mysore Palace,Mysuru,Karnataka,12.2958,76.6514,Palace,Oct-Mar,1800,"Mysore Palace is a popular travel spot near Mysuru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,216,324
114,Chamundi Hill,Mysuru,Karnataka,12.3078,76.6394,Places to Visit,Nov-Feb,2200,"Chamundi Hill is a popular travel spot near Mysuru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
